raceday,locality,raceName,deelnemer,driver,constructor,driverpunten,turbopunten,inhaalpunten,totaalpunten,positie,afwijking_positie,afwijking_positie_real,turbodriver,inhaalkoning
1,Sakhir,Bahrain Grand Prix,Eva,Zhou,Alfa Romeo,8,0,0,8,16,2,-2,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Eva,Perez,Red Bull,9,9,0,18,2,1,1,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Eva,Ocon,Alpine,1,0,0,1,18,9,-9,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Eva,Hulkenberg,Haas,8,0,0,8,15,2,-2,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Eva,Gasly,Alpine,0,0,7,7,9,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Thibaut,Zhou,Alfa Romeo,6,0,0,6,16,4,-4,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Thibaut,Perez,Red Bull,9,9,0,18,2,1,1,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Thibaut,Ocon,Alpine,0,0,0,0,18,11,-11,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Thibaut,Hulkenberg,Haas,11,0,0,11,15,0,0,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Thibaut,Bottas,Alfa Romeo,0,0,4,4,8,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Robbert,Zhou,Alfa Romeo,4,0,0,4,16,6,-6,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Robbert,Perez,Red Bull,9,9,0,18,2,1,1,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Robbert,Ocon,Alpine,1,0,0,1,18,9,-9,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Robbert,Hulkenberg,Haas,9,0,0,9,15,1,-1,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Robbert,Magnussen,Haas,0,0,0,0,13,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Bram,Zhou,Alfa Romeo,7,0,0,7,16,3,-3,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Bram,Perez,Red Bull,9,9,0,18,2,1,1,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Bram,Ocon,Alpine,0,0,0,0,18,11,-11,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Bram,Hulkenberg,Haas,11,0,0,11,15,0,0,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Bram,Alonso,Aston Martin,0,0,0,0,3,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Jonas,Zhou,Alfa Romeo,1,0,0,1,16,9,-9,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Jonas,Perez,Red Bull,7,0,0,7,2,3,3,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Jonas,Ocon,Alpine,4,4,0,8,18,6,-6,TRUE,FALSE
1,Sakhir,Bahrain Grand Prix,Jonas,Hulkenberg,Haas,9,0,0,9,15,1,1,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Jonas,de Vries,AlphaTauri,0,0,5,5,14,NA,NA,FALSE,TRUE
1,Sakhir,Bahrain Grand Prix,Dylan,Zhou,Alfa Romeo,9,0,0,9,16,1,-1,FALSE,FALSE
1,Sakhir,Bahrain Grand Prix,Dylan,Perez,Red Bull,9,9,0,18,2,1,1,TRUE,FALSE
